"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.501911250E-1,6.271957397E-2,1.975891113E-1,9.789492645E0,9.791687365E0
7.602091250E-1,5.733078003E-2,2.049238586E-1,9.790390778E0,9.792703007E0
7.702271250E-1,6.945556641E-2,1.920506287E-1,9.789941711E0,9.792071601E0
7.802451250E-1,6.735992432E-2,1.850152588E-1,9.776918793E0,9.778901221E0
7.902631250E-1,6.496490479E-2,1.986369324E-1,9.785900116E0,9.788131494E0
8.002811250E-1,6.706054688E-2,2.032772827E-1,9.789193268E0,9.791533261E0
8.102981250E-1,6.212081909E-2,2.017803955E-1,9.798024902E0,9.800299297E0
8.203161250E-1,5.897735596E-2,1.944456482E-1,9.792486420E0,9.794594311E0
8.303341250E-1,6.691085815E-2,2.011816406E-1,9.789342957E0,9.791638608E0
8.403521250E-1,6.436614990E-2,1.963916016E-1,9.791438599E0,9.793619479E0
8.503701250E-1,6.691085815E-2,1.983375549E-1,9.793983307E0,9.796219876E0
8.603881250E-1,6.227050781E-2,2.032772827E-1,9.785301361E0,9.787610638E0
8.704061250E-1,5.972579956E-2,1.968406677E-1,9.787097626E0,9.789259081E0
8.804241250E-1,6.167175293E-2,2.007325745E-1,9.794432373E0,9.796683239E0
8.904411250E-1,6.062393188E-2,2.022294617E-1,9.792486420E0,9.794761983E0
9.004591250E-1,5.942642212E-2,2.058219910E-1,9.793085175E0,9.795428088E0
9.104771250E-1,6.062393188E-2,2.005828857E-1,9.792037354E0,9.794279161E0
9.204951250E-1,6.032455444E-2,2.053729248E-1,9.791887665E0,9.794226929E0
9.305131250E-1,6.526428223E-2,2.097138977E-1,9.788145447E0,9.790609309E0
9.405311250E-1,6.481521606E-2,1.963916016E-1,9.790390778E0,9.792574853E0
9.505491250E-1,7.035369873E-2,2.026785278E-1,9.788295135E0,9.790646040E0
9.605671250E-1,5.777984619E-2,2.014810181E-1,9.790390778E0,9.792634206E0
9.705841250E-1,6.167175293E-2,2.029779053E-1,9.793983307E0,9.796280542E0
9.806021250E-1,6.795867920E-2,1.962419128E-1,9.776769104E0,9.778974557E0
9.906201250E-1,6.376739502E-2,2.070195007E-1,9.777367859E0,9.779767155E0
1.000638125E0,6.137237549E-2,2.091151428E-1,9.791288910E0,9.793714016E0
1.010656125E0,6.152206421E-2,1.953437805E-1,9.789941711E0,9.792083684E0
1.020674125E0,6.346801758E-2,1.971400452E-1,9.782906342E0,9.785098307E0
1.030692125E0,6.182144165E-2,2.020797729E-1,9.786947937E0,9.789229186E0
1.040709125E0,6.346801758E-2,2.008822632E-1,9.776469727E0,9.778739294E0
1.050727125E0,6.631210327E-2,2.025288391E-1,9.775721283E0,9.778043865E0
1.060745125E0,6.406677246E-2,1.971400452E-1,9.781858521E0,9.784054623E0
1.070763125E0,5.478607178E-2,1.969903564E-1,9.788744202E0,9.790879417E0
1.080781125E0,5.328918457E-2,1.993853760E-1,9.779313812E0,9.781491344E0
1.090799125E0,5.777984619E-2,1.890568542E-1,9.783804474E0,9.785801500E0
1.100817125E0,5.897735596E-2,1.911524963E-1,9.798623657E0,9.800665446E0
1.110835125E0,6.466552734E-2,1.990859985E-1,9.787846069E0,9.790084144E0
1.120852125E0,5.867797852E-2,1.995350647E-1,9.791288910E0,9.793497632E0
1.130870125E0,5.673202515E-2,1.939965820E-1,9.786498871E0,9.788585871E0
1.140888125E0,6.631210327E-2,1.945953369E-1,9.788893890E0,9.791052458E0
1.150906125E0,6.002517700E-2,2.032772827E-1,9.789043579E0,9.791337951E0
1.160924125E0,7.005432129E-2,2.058219910E-1,9.786947937E0,9.789362605E0
1.170942125E0,6.870712280E-2,1.999841309E-1,9.792486420E0,9.794769247E0
1.180960125E0,6.556365967E-2,1.972897339E-1,9.784552917E0,9.786761345E0
1.190978125E0,6.735992432E-2,2.041754150E-1,9.786947937E0,9.789309214E0
1.200995125E0,6.885681152E-2,1.959425354E-1,9.786648560E0,9.788852066E0
1.211013125E0,6.765930176E-2,1.966909790E-1,9.784552917E0,9.786763557E0
1.221031125E0,6.047424316E-2,1.971400452E-1,9.790091400E0,9.792262811E0
1.231049125E0,6.361770630E-2,1.999841309E-1,9.793683929E0,9.795932103E0
1.241067125E0,5.897735596E-2,1.920506287E-1,9.785900116E0,9.787962140E0
1.251085125E0,6.855743408E-2,1.969903564E-1,9.775122528E0,9.777347583E0
1.261103125E0,6.975494385E-2,2.062710571E-1,9.786199493E0,9.788621661E0
1.271121125E0,6.197113037E-2,2.112107849E-1,9.774074707E0,9.776552910E0
1.281138125E0,6.975494385E-2,2.086660767E-1,9.785451050E0,9.787924169E0
1.291156125E0,5.822891235E-2,1.999841309E-1,9.789492645E0,9.791708253E0
1.301174125E0,5.688171387E-2,1.956431580E-1,9.788145447E0,9.790265730E0
1.311192125E0,6.107299805E-2,2.014810181E-1,9.778565369E0,9.780831518E0
1.321210125E0,6.466552734E-2,2.007325745E-1,9.782008209E0,9.784281261E0
1.331228125E0,5.658233643E-2,2.092648315E-1,9.792037354E0,9.794436628E0
1.341246125E0,6.137237549E-2,1.951940918E-1,9.782008209E0,9.784147991E0
1.351264125E0,6.152206421E-2,1.893562317E-1,9.777966614E0,9.779993448E0
1.361281125E0,6.107299805E-2,1.998344421E-1,9.783804474E0,9.786035648E0
1.371299125E0,6.391708374E-2,1.975891113E-1,9.796078949E0,9.798279932E0
1.381317125E0,6.556365967E-2,1.989363098E-1,9.794282684E0,9.796522217E0
1.391335125E0,6.331832886E-2,1.987866211E-1,9.787247314E0,9.789470636E0
1.401353125E0,6.556365967E-2,1.972897339E-1,9.789792023E0,9.791999269E0
