"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.413916667E-1,-1.287322998E-2,1.302291870E-1,9.688602448E0,9.689486196E0
7.514076667E-1,-1.886077881E-2,1.197509766E-1,9.731263733E0,9.732018797E0
7.614246667E-1,-1.347198486E-2,1.194515991E-1,9.762099609E0,9.762839698E0
7.714416667E-1,-1.736389160E-2,1.255888367E-1,9.723479919E0,9.724306443E0
7.814576667E-1,-1.751358032E-2,1.176553345E-1,9.734706573E0,9.735433302E0
7.914746667E-1,-1.481918335E-2,1.230441284E-1,9.774374084E0,9.775159754E0
8.014916667E-1,-1.227447510E-2,1.169068909E-1,9.727671204E0,9.728381414E0
8.115076667E-1,-5.837860107E-3,8.696914673E-2,9.720935211E0,9.721325995E0
8.215246667E-1,2.245330811E-3,8.053253174E-2,9.801916809E0,9.802247888E0
8.315406667E-1,7.484436035E-4,8.786727905E-2,9.786648560E0,9.787043029E0
8.415576667E-1,2.020797729E-2,7.334747314E-2,9.794432373E0,9.794727854E0
8.515746667E-1,-4.191284180E-3,9.370513916E-2,9.782906342E0,9.783356004E0
8.615906667E-1,-1.377136230E-2,1.122665405E-1,9.811945953E0,9.812597863E0
8.716076667E-1,2.694396973E-3,1.133143616E-1,9.800719299E0,9.801374709E0
8.816246667E-1,-1.212478638E-2,1.219963074E-1,9.768685913E0,9.769455183E0
8.916406667E-1,-1.916015625E-2,1.221459961E-1,9.812694397E0,9.813473294E0
9.016576667E-1,-1.317260742E-2,1.372645569E-1,9.805958405E0,9.806927924E0
9.116746667E-1,-8.083190918E-3,1.384620667E-1,9.752519531E0,9.753505744E0
9.216906667E-1,-5.987548828E-4,1.368154907E-1,9.786798248E0,9.787754533E0
9.317076667E-1,8.382568359E-3,1.327738953E-1,9.781259766E0,9.782164473E0
9.417246667E-1,3.293151855E-3,1.371148682E-1,9.717941437E0,9.718909255E0
9.517406667E-1,1.347198486E-3,1.288819885E-1,9.723030853E0,9.723885096E0
9.617576667E-1,-4.939727783E-3,1.225950623E-1,9.754914551E0,9.755686129E0
9.717746667E-1,-1.047821045E-2,1.178050232E-1,9.736053772E0,9.736772097E0
9.817906667E-1,-1.152603149E-2,1.074765015E-1,9.713600464E0,9.714201872E0
9.918076667E-1,-1.796264648E-2,1.103205872E-1,9.742789764E0,9.743430899E0
1.001824667E0,-1.257385254E-2,9.909393311E-2,9.768386536E0,9.768897237E0
1.011840667E0,-4.640350342E-3,9.699829102E-2,9.738299103E0,9.738783272E0
1.021857667E0,-1.362167358E-2,1.034349060E-1,9.746232605E0,9.746790976E0
1.031874667E0,-2.993774414E-3,9.565109253E-2,9.791588287E0,9.792055927E0
1.041890667E0,-6.586303711E-3,1.001417542E-1,9.782756653E0,9.783271410E0
1.051907667E0,-1.422042847E-2,1.052311707E-1,9.762997742E0,9.763575202E0
1.061924667E0,-3.143463135E-3,9.999206543E-2,9.782157898E0,9.782669443E0
1.071940667E0,6.286926270E-3,1.041833496E-1,9.800569611E0,9.801125363E0
1.081957667E0,1.062789917E-2,1.155596924E-1,9.797575836E0,9.798263074E0
1.091974667E0,1.137634277E-2,1.106199646E-1,9.792636108E0,9.793267491E0
1.101990667E0,1.586700439E-2,1.242416382E-1,9.795779572E0,9.796580279E0
1.112007667E0,1.811233521E-2,1.224453735E-1,9.793234863E0,9.794017052E0
1.122024667E0,1.601669312E-2,1.193019104E-1,9.769134979E0,9.769876546E0
1.132040667E0,7.035369873E-3,1.297801208E-1,9.782008209E0,9.782871612E0
1.142057667E0,6.586303711E-3,1.320254517E-1,9.775122528E0,9.776016292E0
1.152074667E0,-4.041595459E-3,1.347198486E-1,9.762997742E0,9.763928035E0
1.162090667E0,1.496887207E-3,1.294807434E-1,9.754166107E0,9.755025574E0
1.172107667E0,-1.481918335E-2,1.215472412E-1,9.760902100E0,9.761670100E0
1.182123667E0,-9.580078125E-3,1.230441284E-1,9.760602722E0,9.761382952E0
1.192140667E0,-1.586700439E-2,1.207987976E-1,9.753567352E0,9.754328281E0
1.202157667E0,-2.185455322E-2,1.121168518E-1,9.760153656E0,9.760822055E0
1.212173667E0,-9.580078125E-3,1.073268127E-1,9.749825134E0,9.750420554E0
1.222190667E0,-6.885681152E-3,1.083746338E-1,9.749675446E0,9.750280189E0
